cohort_month,new_users,m1_retention_pct,m2_retention_pct,m3_retention_pct,m4_retention_pct,m5_retention_pct,m6_retention_pct,m7_retention_pct,m8_retention_pct,m9_retention_pct,m10_retention_pct,m11_retention_pct
2010-12,885,36.5,32.32,38.31,36.16,39.77,36.16,34.8,35.25,39.55,37.29,50.17
2011-01,415,21.93,26.75,22.89,32.05,28.92,24.82,24.1,29.88,32.77,36.63,11.81
2011-02,380,18.68,18.68,28.68,27.11,24.47,25.53,27.37,24.74,30.53,6.84,
2011-03,452,14.82,25.22,19.91,22.35,16.81,26.77,23.01,27.88,8.63,,
2011-04,300,21.0,20.33,21.0,19.67,22.67,21.67,26.0,7.33,,,
2011-05,284,19.01,17.25,17.25,20.77,23.24,26.41,9.15,,,,
2011-06,242,17.36,15.7,26.45,23.14,33.06,9.5,,,,,
2011-07,187,17.65,20.32,22.46,27.27,11.23,,,,,,
2011-08,169,20.12,24.26,24.26,12.43,,,,,,,
2011-09,299,23.41,30.1,11.37,,,,,,,,
2011-10,357,23.81,11.48,,,,,,,,,
2011-11,323,11.15,,,,,,,,,,
2011-12,41,,,,,,,,,,,
