order_month,guest_orders,total_orders,guest_order_share_pct,guest_revenue_share_pct,guest_avg_revenue_per_order
2010-12,157,1552,10.12,28.31,1427.13
2011-01,98,1081,9.07,18.15,1101.69
2011-02,101,1093,9.24,12.89,649.57
2011-03,129,1441,8.95,15.46,828.86
2011-04,96,1236,7.77,11.82,635.86
2011-05,124,1669,7.43,10.9,651.56
2011-06,135,1525,8.85,11.43,625.51
2011-07,131,1452,9.02,14.02,737.91
2011-08,72,1339,5.38,12.24,1233.3
2011-09,79,1820,4.34,8.69,1134.17
2011-10,102,2007,5.08,9.13,990.62
2011-11,109,2753,3.96,21.65,2895.41
2011-12,40,816,4.9,22.88,2556.78
