order_month,avg_daily_revenue,avg_daily_customers,avg_daily_orders,revenue_mom_pct,customers_mom_pct,orders_mom_pct
2010-12,25534.34,39.52,50.06,,,
2011-01,19187.86,30.94,34.87,-24.85,-21.71,-30.34
2011-02,18176.89,34.32,39.04,-5.27,10.92,11.96
2011-03,22305.99,40.1,46.48,22.72,16.84,19.06
2011-04,17210.83,35.83,41.2,-22.84,-10.65,-11.36
2011-05,23912.6,43.81,53.84,38.94,22.27,30.68
2011-06,24629.23,42.47,50.83,3.0,-3.06,-5.59
2011-07,22238.64,39.32,46.84,-9.71,-7.42,-7.85
2011-08,23406.62,38.74,43.19,5.25,-1.48,-7.79
2011-09,34351.01,53.27,60.67,46.76,37.51,40.47
2011-10,35700.53,55.52,64.74,3.93,4.22,6.71
2011-11,48592.52,80.37,91.77,36.11,44.76,41.75
2011-12,49671.89,79.22,90.67,2.22,-1.43,-1.2
